light,sound,motion,contour_average,datetime
270.8333333333333,288.01666666666665,0.11666666666666667,0.005600405910809782,05/01/18 13:56:00
265.98333333333335,288.5833333333333,0.95,0.10080210102333544,05/01/18 14:57:00
261.4,295.78333333333336,1.0,0.45835328631673095,05/01/18 15:57:00
253.68333333333334,308.0833333333333,1.0,0.7250971561196022,05/01/18 16:57:00
251.66666666666666,277.0,0.18333333333333332,0.1754081800461072,05/01/18 17:57:00
249.7,297.6,0.31666666666666665,0.04989410458537476,05/01/18 18:57:00
246.95,295.43333333333334,1.0,0.7361225799830956,05/01/18 19:58:00
245.11666666666667,297.65,1.0,0.8893914130585255,05/01/18 20:58:00
245.05,308.68333333333334,1.0,1.5775006680932406,05/01/18 21:58:00
250.58333333333334,313.5833333333333,0.9833333333333333,0.3794882090907227,05/01/18 22:59:00
252.31666666666666,312.15,1.0,0.24243671245948312,05/01/18 23:59:00
248.51666666666668,301.8333333333333,0.9666666666666667,0.11906472510762826,05/02/18 00:59:00
248.15,283.71666666666664,1.0,0.21415883362073967,05/02/18 02:00:00
248.03333333333333,271.05,0.5,0.12083132582544726,05/02/18 03:00:00
251.2,258.6166666666667,0.0,0.0,05/02/18 04:00:00
248.0,286.3666666666667,0.0,0.0,05/02/18 05:00:00
252.3,282.21666666666664,0.05,0.006846502142309205,05/02/18 06:00:00
257.95,284.81666666666666,0.13333333333333333,0.04619478765598036,05/02/18 07:00:00
264.5833333333333,279.78333333333336,0.13333333333333333,0.02365834867959814,05/02/18 08:01:00
264.93333333333334,284.43333333333334,0.08333333333333333,0.0063060058813201,05/02/18 09:01:00
275.1666666666667,287.81666666666666,0.03333333333333333,0.004131611170359837,05/02/18 10:02:00
277.3666666666667,295.5,0.6666666666666666,0.1134699614702354,05/02/18 11:02:00
276.3666666666667,300.3333333333333,0.2,0.029885013813309103,05/02/18 12:02:00
269.25,262.31666666666666,0.4666666666666667,0.15377338662579962,05/02/18 13:02:00
273.93333333333334,292.76666666666665,0.7166666666666667,0.16050541027764517,05/02/18 14:02:00
268.28333333333336,293.85,0.6333333333333333,0.15401380117017477,05/02/18 15:02:00
263.43333333333334,295.48333333333335,0.65,0.10713043596902945,05/02/18 16:02:00
261.3666666666667,285.6666666666667,0.95,0.07845547775564814,05/02/18 17:03:00
252.36666666666667,293.1,0.31666666666666665,0.030410352816496112,05/02/18 18:03:00
252.0,313.96666666666664,0.36666666666666664,0.06605750354314266,05/02/18 19:03:00
245.6,273.3833333333333,1.0,0.5214953548597876,05/02/18 20:03:00
251.13333333333333,289.68333333333334,1.0,0.6382002758420485,05/02/18 21:03:00
249.11666666666667,306.0833333333333,1.0,0.8077991031711141,05/02/18 22:03:00
250.06666666666666,321.18333333333334,0.75,0.3414341884822339,05/02/18 23:04:00
246.68333333333334,279.65,0.08333333333333333,0.006469755121063207,05/03/18 00:04:00
249.98333333333332,295.28333333333336,0.05,0.004271176708126018,05/03/18 01:05:00
251.81666666666666,279.6333333333333,0.016666666666666666,0.0013142174432497012,05/03/18 02:05:00
249.1,293.23333333333335,0.016666666666666666,0.001413427561837456,05/03/18 03:07:00
248.93333333333334,300.18333333333334,0.0,0.0,05/03/18 04:07:00
250.45,316.8666666666667,0.0,0.0,05/03/18 05:07:00
251.05,293.55,0.0,0.0,05/03/18 06:07:00
258.1666666666667,278.3666666666667,0.016666666666666666,0.002680652680652681,05/03/18 07:08:00
261.28333333333336,283.6,0.15,0.03200788329244693,05/03/18 08:08:00
266.9,277.51666666666665,0.03333333333333333,0.00266673925843476,05/03/18 09:09:00
275.98333333333335,278.28333333333336,0.6,0.12011686370069216,05/03/18 10:09:00
275.56666666666666,288.3833333333333,0.7833333333333333,0.6071637114159257,05/03/18 11:09:00
271.1,275.98333333333335,0.8333333333333334,1.475373506006058,05/03/18 12:09:00
272.56666666666666,309.23333333333335,0.4,0.08241505195946121,05/03/18 13:09:00
275.76666666666665,281.5833333333333,0.9333333333333333,0.09120500771408846,05/03/18 14:11:00
271.23333333333335,299.8333333333333,1.0,0.40919814598990345,05/03/18 15:13:00
261.3666666666667,296.0,1.0,0.4526548863843962,05/03/18 16:13:00
261.8333333333333,260.28333333333336,0.8,0.40508817379795264,05/03/18 17:14:00
259.56666666666666,300.2,0.0,0.0,05/03/18 18:14:00
255.08333333333334,287.6666666666667,0.6,0.2512125876724634,05/03/18 19:14:00
248.51666666666668,274.4,1.0,0.978814865158116,05/03/18 20:15:00
248.0,293.15,1.0,1.328541656893401,05/03/18 21:16:00
253.15,310.23333333333335,1.0,0.9397887807621916,05/03/18 22:16:00
255.76666666666668,310.8333333333333,0.8,0.20983851662407543,05/03/18 23:16:00
252.11666666666667,311.76666666666665,0.26666666666666666,0.06254487246476058,05/04/18 00:16:00
252.6,280.78333333333336,0.016666666666666666,0.0017421602787456446,05/04/18 01:16:00
254.38333333333333,264.48333333333335,0.0,0.0,05/04/18 02:16:00
253.93333333333334,261.46666666666664,0.0,0.0,05/04/18 03:16:00
254.15,288.8333333333333,0.0,0.0,05/04/18 04:17:00
253.06666666666666,257.0833333333333,0.0,0.0,05/04/18 05:17:00
256.3666666666667,276.03333333333336,0.25,0.04575199355401128,05/04/18 06:17:00
264.9166666666667,285.55,0.03333333333333333,0.0020689655172413794,05/04/18 07:17:00
266.71666666666664,269.93333333333334,0.15,0.011362227998817321,05/04/18 08:18:00
272.46666666666664,294.0833333333333,0.13333333333333333,0.010172091421362665,05/04/18 09:18:00
281.0833333333333,295.8666666666667,0.06666666666666667,0.005353445972314421,05/04/18 10:18:00
