datetime,light,sound,motion,contour_average,image
05/01/18 13:56:00,258,352,True,0.02564102564102564,18-05-01-13-56-00.jpg
05/01/18 13:57:00,255,177,False,0.0,18-05-01-13-57-00.jpg
05/01/18 13:58:00,267,419,False,0.0,18-05-01-13-58-00.jpg
05/01/18 13:59:00,279,170,False,0.0,18-05-01-13-59-00.jpg
05/01/18 14:00:00,265,171,False,0.0,18-05-01-14-00-00.jpg
05/01/18 14:01:00,274,648,False,0.0,18-05-01-14-01-00.jpg
05/01/18 14:03:00,274,172,False,0.0,18-05-01-14-03-00.jpg
05/01/18 14:04:00,278,230,False,0.0,18-05-01-14-04-00.jpg
05/01/18 14:05:00,269,510,False,0.0,18-05-01-14-05-00.jpg
05/01/18 14:06:00,284,513,False,0.0,18-05-01-14-06-00.jpg
05/01/18 14:07:00,267,171,False,0.0,18-05-01-14-07-00.jpg
05/01/18 14:08:00,271,170,False,0.0,18-05-01-14-08-00.jpg
05/01/18 14:09:00,271,171,False,0.0,18-05-01-14-09-00.jpg
05/01/18 14:10:00,255,454,True,0.05882352941176471,18-05-01-14-10-00.jpg
05/01/18 14:11:00,255,197,False,0.0,18-05-01-14-11-00.jpg
05/01/18 14:12:00,270,356,False,0.0,18-05-01-14-12-00.jpg
05/01/18 14:13:00,276,211,False,0.0,18-05-01-14-13-00.jpg
05/01/18 14:14:00,266,224,False,0.0,18-05-01-14-14-00.jpg
05/01/18 14:15:00,280,256,False,0.0,18-05-01-14-15-00.jpg
05/01/18 14:16:00,274,377,False,0.0,18-05-01-14-16-00.jpg
05/01/18 14:17:00,270,439,True,0.07241379310344828,18-05-01-14-17-00.jpg
05/01/18 14:18:00,265,279,True,0.054982817869415807,18-05-01-14-18-00.jpg
05/01/18 14:19:00,281,415,False,0.0,18-05-01-14-19-00.jpg
05/01/18 14:20:00,258,348,False,0.0,18-05-01-14-20-00.jpg
05/01/18 14:21:00,255,187,False,0.0,18-05-01-14-21-00.jpg
05/01/18 14:22:00,277,203,False,0.0,18-05-01-14-22-00.jpg
05/01/18 14:23:00,282,408,False,0.0,18-05-01-14-23-00.jpg
05/01/18 14:24:00,264,417,False,0.0,18-05-01-14-24-00.jpg
05/01/18 14:25:00,283,208,False,0.0,18-05-01-14-25-00.jpg
05/01/18 14:26:00,270,223,False,0.0,18-05-01-14-26-00.jpg
05/01/18 14:27:00,274,172,False,0.0,18-05-01-14-27-00.jpg
05/01/18 14:28:00,282,197,False,0.0,18-05-01-14-28-00.jpg
05/01/18 14:29:00,267,173,False,0.0,18-05-01-14-29-00.jpg
05/01/18 14:30:00,279,201,False,0.0,18-05-01-14-30-00.jpg
05/01/18 14:31:00,281,212,True,0.044673539518900345,18-05-01-14-31-00.jpg
05/01/18 14:32:00,263,226,True,0.013745704467353952,18-05-01-14-32-00.jpg
05/01/18 14:33:00,262,219,False,0.0,18-05-01-14-33-00.jpg
05/01/18 14:34:00,260,218,False,0.0,18-05-01-14-34-00.jpg
05/01/18 14:35:00,280,414,False,0.0,18-05-01-14-35-00.jpg
05/01/18 14:36:00,281,257,False,0.0,18-05-01-14-36-00.jpg
05/01/18 14:37:00,262,388,False,0.0,18-05-01-14-37-00.jpg
05/01/18 14:38:00,279,238,False,0.0,18-05-01-14-38-00.jpg
05/01/18 14:39:00,260,543,False,0.0,18-05-01-14-39-00.jpg
05/01/18 14:40:00,259,392,False,0.0,18-05-01-14-40-00.jpg
05/01/18 14:41:00,265,306,False,0.0,18-05-01-14-41-00.jpg
05/01/18 14:42:00,284,214,False,0.0,18-05-01-14-42-00.jpg
05/01/18 14:43:00,271,179,False,0.0,18-05-01-14-43-00.jpg
05/01/18 14:44:00,286,459,False,0.0,18-05-01-14-44-00.jpg
05/01/18 14:45:00,281,232,False,0.0,18-05-01-14-45-00.jpg
05/01/18 14:46:00,285,208,False,0.0,18-05-01-14-46-00.jpg
05/01/18 14:47:00,255,187,False,0.0,18-05-01-14-47-00.jpg
05/01/18 14:48:00,276,277,False,0.0,18-05-01-14-48-00.jpg
05/01/18 14:49:00,283,184,False,0.0,18-05-01-14-49-00.jpg
05/01/18 14:50:00,261,265,False,0.0,18-05-01-14-50-00.jpg
05/01/18 14:51:00,258,173,False,0.0,18-05-01-14-51-00.jpg
05/01/18 14:52:00,280,444,False,0.0,18-05-01-14-52-00.jpg
05/01/18 14:53:00,269,397,False,0.0,18-05-01-14-53-00.jpg
05/01/18 14:54:00,283,334,False,0.0,18-05-01-14-54-00.jpg
05/01/18 14:55:00,276,290,False,0.0,18-05-01-14-55-00.jpg
05/01/18 14:56:00,255,206,True,0.0657439446366782,18-05-01-14-56-00.jpg
05/01/18 14:57:00,260,445,True,0.0763888888888889,18-05-01-14-57-00.jpg
05/01/18 14:58:00,255,237,False,0.0,18-05-01-14-58-00.jpg
05/01/18 14:59:00,261,253,True,0.10689655172413794,18-05-01-14-59-00.jpg
