datetime,light,sound,motion,contour_average,image
05/05/18 13:56:00,265,242,False,0.0,18-05-05-13-56-00.jpg
05/05/18 13:57:00,275,558,False,0.0,18-05-05-13-57-00.jpg
05/05/18 13:58:00,288,186,False,0.0,18-05-05-13-58-00.jpg
05/05/18 13:59:00,274,187,False,0.0,18-05-05-13-59-00.jpg
05/05/18 14:00:00,261,184,False,0.0,18-05-05-14-00-00.jpg
05/05/18 14:01:00,286,351,False,0.0,18-05-05-14-01-00.jpg
05/05/18 14:02:00,258,294,False,0.0,18-05-05-14-02-00.jpg
05/05/18 14:03:00,272,183,False,0.0,18-05-05-14-03-00.jpg
05/05/18 14:04:00,266,254,False,0.0,18-05-05-14-04-00.jpg
05/05/18 14:05:00,261,519,False,0.0,18-05-05-14-05-00.jpg
05/05/18 14:06:00,261,226,False,0.0,18-05-05-14-06-00.jpg
05/05/18 14:07:00,286,235,False,0.0,18-05-05-14-07-00.jpg
05/05/18 14:08:00,275,298,False,0.0,18-05-05-14-08-00.jpg
05/05/18 14:09:00,263,224,False,0.0,18-05-05-14-09-00.jpg
05/05/18 14:10:00,270,217,False,0.0,18-05-05-14-10-00.jpg
05/05/18 14:11:00,276,285,False,0.0,18-05-05-14-11-00.jpg
05/05/18 14:12:00,289,210,False,0.0,18-05-05-14-12-00.jpg
05/05/18 14:13:00,281,256,False,0.0,18-05-05-14-13-00.jpg
05/05/18 14:14:00,276,213,False,0.0,18-05-05-14-14-00.jpg
05/05/18 14:15:00,282,244,False,0.0,18-05-05-14-15-00.jpg
05/05/18 14:16:00,285,189,False,0.0,18-05-05-14-16-00.jpg
05/05/18 14:17:00,287,347,False,0.0,18-05-05-14-17-00.jpg
05/05/18 14:18:00,291,244,False,0.0,18-05-05-14-18-00.jpg
05/05/18 14:19:00,274,184,False,0.0,18-05-05-14-19-00.jpg
05/05/18 14:20:00,285,214,False,0.0,18-05-05-14-20-00.jpg
05/05/18 14:21:00,273,391,False,0.0,18-05-05-14-21-00.jpg
05/05/18 14:22:00,290,223,False,0.0,18-05-05-14-22-00.jpg
05/05/18 14:23:00,282,221,False,0.0,18-05-05-14-23-00.jpg
05/05/18 14:24:00,264,235,False,0.0,18-05-05-14-24-00.jpg
05/05/18 14:25:00,271,429,False,0.0,18-05-05-14-25-00.jpg
05/05/18 14:26:00,280,184,False,0.0,18-05-05-14-26-00.jpg
